"","mean","sd","5.5%","94.5%","n_eff","Rhat4"
"a[1]",-0.653792066611793,0.311483481444931,-1.15347969929286,-0.153448957613892,1124.51812839765,1.00133306842344
"a[2]",-0.412381715107478,0.292051778460764,-0.869797273198168,0.0624359548329184,1005.7058905089,1.00216310430896
"a[3]",-0.367745739830924,0.300928243707388,-0.848652732384809,0.107912890945853,1050.88054023733,1.00194139526595
"a[4]",0.254543742910857,0.283719342429795,-0.182536909624079,0.71842183013039,1001.13147340444,1.00176821537971
"a[5]",0.0374903987018139,0.29018154990053,-0.410433705886972,0.507969793545994,1005.7101664106,1.00182290876933
"a[6]",-0.466767683953491,0.298221221702343,-0.939856432164651,0.00211778818372194,1134.19077237443,1.00192527137179
"a[7]",0.180230531083152,0.289390009846124,-0.271715132473804,0.649633958167881,989.348042165906,1.00199593473647
"a[8]",-0.156408172283599,0.296811462646417,-0.622185588285692,0.318806645867233,1092.08139051543,1.00185429682864
"a[9]",0.463559223171519,0.28214929785227,0.0186011964007599,0.917367819636175,988.025074679498,1.00224856515126
"a[10]",0.741598430439555,0.275039081952304,0.320638847974507,1.18894102699289,945.4696490773,1.00218898205145
"abar",3.47704432324482,0.253007056152132,3.06221896267024,3.87294690448977,814.699319963061,1.00291253901266
"etasq",0.381863704775605,0.276100161052182,0.113465659925442,0.898742725856386,1876.80424116822,1.00137356127411
"rhosq",1.08679981538403,1.40207182466491,0.0752775167328743,3.7094769202451,3223.09384937924,1.00156660117919
